,País,Ano,Quantidade,Valor
371,Indonésia,2013,0,0
372,Irlanda,2013,0,0
373,Israel,2013,24622,97645
374,Itália,2013,8308831,30799292
375,Japão,2013,0,0
376,Iugoslávia,2013,0,0
377,Líbano,2013,6588,75810
378,Luxemburgo,2013,0,0
379,Macedônia,2013,0,0
380,Marrocos,2013,0,0
381,México,2013,0,0
382,Moldávia,2013,0,0
383,Montenegro,2013,0,0
384,Noruega,2013,0,0
385,Nova Zelândia,2013,90728,840521
386,Países Baixos (Holanda),2013,0,0
387,Panamá,2013,0,0
388,Peru,2013,0,0
389,Porto Rico,2013,0,0
390,Portugal,2013,9299080,35729522
391,Reino Unido,2013,127,2789
392,Republica Dominicana,2013,0,0
393,Romênia,2013,0,0
394,Rússia,2013,0,0
395,San Marino,2013,0,0
396,Sérvia,2013,0,0
397,Síria,2013,0,0
398,Suazilândia,2013,0,0
399,Suíça,2013,0,0
400,"Tcheca, República",2013,0,0
401,Tunísia,2013,8000,20892
402,Turquia,2013,0,0
403,Ucrânia,2013,0,0
404,Uruguai,2013,1372329,3740613
405,Não consta na tabela,2013,0,0
406,Não declarados,2013,0,0
407,Outros,2013,0,0
408,Africa do Sul,2014,722715,3033932
409,Alemanha,2014,115804,483316
410,Argélia,2014,0,0
411,Arábia Saudita,2014,0,0
412,Argentina,2014,13437321,53815956
413,Armênia,2014,0,0
414,Austrália,2014,236742,1008851
415,Áustria,2014,2770,32116
416,Bermudas,2014,0,0
417,Bélgica,2014,0,0
418,Bolívia,2014,0,0
419,Bósnia-Herzegovina,2014,0,0
420,Brasil,2014,449,6011
421,Bulgária,2014,15019,46857
422,Canada,2014,1530,25958
423,Chile,2014,35479279,113375484
424,China,2014,0,0
425,"Coreia do Sul, República",2014,0,0
426,Croácia,2014,0,0
427,Cuba,2014,0,0
428,Emirados Árabes Unidos,2014,35,1138
429,Eslovênia,2014,4190,23377
430,Eslováquia,2014,0,0
431,Espanha,2014,2760797,12797753
432,Estados Unidos,2014,788773,4171731
433,França,2014,3592782,27480375
434,Geórgia,2014,0,0
435,"Geórgia do Sul e Sandwich do Sul, Ilhas",2014,0,0
436,Grécia,2014,24244,107195
437,Hong Kong,2014,0,0
438,Hungria,2014,18733,114610
439,Indonésia,2014,0,0
440,Irlanda,2014,0,0
441,Israel,2014,7734,40372
442,Itália,2014,8566756,31697736
443,Japão,2014,0,0
444,Iugoslávia,2014,0,0
445,Líbano,2014,47610,270145
446,Luxemburgo,2014,0,0
447,Macedônia,2014,252,497
448,Marrocos,2014,0,0
449,México,2014,0,0
450,Moldávia,2014,0,0
451,Montenegro,2014,0,0
452,Noruega,2014,0,0
453,Nova Zelândia,2014,106251,843533
454,Países Baixos (Holanda),2014,0,0
455,Panamá,2014,0,0
